AC01,AD01,AD03,AD10,AD10_09,AD11,BP03_03,BP03_04,BP03_05,BP03_06,BP03_07,BP03_08,BP03_09,BP03_10,BP03_11,BP03_12,BP03_13,BP03_14,BP04,BP05,BP06,BP07,BP08,CH01_01,CH01_02,CH01_03,CH01_04,CH01_05,CH02,CH02_01,CH02_02,CH02_03,CH02_04,CH02_05,CH03,CH04,DI02,DI03,DI04,DI05,DI06,DI07,DI08,DI09,DJ01,DJ02,DJ03,DJ04,DJ06,DJ07,DJ09,DJ10,DK01,DK02,DK03,DK05,DK06,DK07,DK09,DK10,DL01,DL02,DL03,DL04,DL05,DL06,DL08,DL09,DM01,DM02,DM03,DM04,DM05,DM06,DM08,DM09,DN01,DN02,DN03,DN04,DN05,DN06,DN08,DN09,EE01_CP,EE01,FS05_01,FS06_01,FS08,FS09_03,FS09_04,FS09_05,FS09_06,FS09_07,FS09_08,FS09_09,FS09_10,FS09_11,FS09_12,FS09_13,FS09_14,TIME_SUM,FINISHED
2,1.0,4.0,8.0,,3.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,"Superlative terms like all/best/only make content less believable. An unbalanced, one-sided view on topics makes me suspicious.",If a number is to exact or perfect it makes it less credible for me. I also check if there is a cause and effect mentioned.,4.0,5.0,4.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,1300,1
2,1.0,2.0,4.0,,2.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,"I think what I most look for is emotion to make content believable. If a person feels strongly about a topic, you can often see it in their language.","Emotion, Formality",5.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,692,1
2,1.0,3.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0
2,1.0,3.0,4.0,,3.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,1.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,1.0,All images looked the same and looked like a filled-in template.,The lack of references made the content less credible.,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,1090,1
2,1.0,3.0,4.0,,3.0,5.0,4.0,5.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,it became unbelievable when it deviated a lot from my knowledge on the subject,in one example I felt like using numbers made it sound credible,5.0,5.0,4.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,1185,1
2,1.0,3.0,4.0,,2.0,5.0,4.0,5.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,5.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,5.0,2.0,the layout in general made all the content very unbelievable with no source of the quote,"the missing source, exaggerating",4.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,1323,1
2,1.0,3.0,4.0,,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,2.0,Exaggerations make content unbelievable.,-,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,992,1
2,1.0,4.0,4.0,,3.0,5.0,2.0,4.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,330,0
2,2.0,3.0,4.0,,3.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,7.0,1.0,if the premises of the presented content lined up with my prior knowledge,lack of cause and effect relationships make it less credible,4.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,5.0,1406,1
2,2.0,3.0,4.0,,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,789,0
2,2.0,2.0,4.0,,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,8.0,1.0,My prior knowledge on the subjects,"If there were facts mentioned that I had already heard before, I would be more likely to believe the content. ",3.0,2.0,4.0,3.0,2.0,4.0,5.0,1.0,3.0,1.0,3.0,2.0,3.0,897,1
2,2.0,4.0,9.0,Apprenticeship,3.0,5.0,4.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,8.0,2.0,if there were some clues why they thought that that is the way to go ,"leaving out critical or relevant information like to say ""we need to do this"" but not why",5.0,5.0,4.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,994,1
